n	n	n	i	i
0.220899	0.039954	0.859527	3.000000	1.000000	
0.301296	0.488807	0.938486	1.000000	1.000000	
0.747983	0.640532	0.519422	1.000000	0.000000	
0.462207	0.806596	0.505362	3.000000	0.000000	
0.373913	0.883585	0.944743	3.000000	0.000000	
0.904119	0.322545	0.612626	1.000000	1.000000	
0.790789	0.032848	0.076063	2.000000	2.000000	
0.300261	0.632227	0.863767	4.000000	0.000000	
0.973156	0.082193	0.476415	2.000000	1.000000	
0.521376	0.058053	0.583351	5.000000	2.000000	
0.825423	0.073349	0.277309	3.000000	0.000000	
0.840065	0.318704	0.926141	0.000000	1.000000	
0.539327	0.155325	0.959163	2.000000	0.000000	
0.652353	0.821935	0.948366	4.000000	0.000000	
0.169471	0.350283	0.823182	0.000000	3.000000	
0.498426	0.510473	0.436941	2.000000	0.000000	
0.513519	0.557679	0.152112	0.000000	1.000000	
0.041994	0.085909	0.918632	1.000000	1.000000	
0.166257	0.461095	0.886492	5.000000	0.000000	
0.171048	0.008588	0.272379	1.000000	2.000000	
0.444107	0.490506	0.342990	2.000000	3.000000	
0.962234	0.533689	0.822132	4.000000	0.000000	
0.024544	0.720493	0.371422	1.000000	4.000000	
0.222134	0.084570	0.903969	4.000000	0.000000	
0.924433	0.279293	0.237931	3.000000	2.000000	
0.183517	0.804480	0.732803	0.000000	1.000000	
0.710617	0.498166	0.506538	1.000000	5.000000	
0.931589	0.363541	0.568459	1.000000	1.000000	
0.938593	0.662031	0.943608	3.000000	1.000000	
0.494217	0.880876	0.386816	0.000000	0.000000	
0.225261	0.043758	0.703128	4.000000	2.000000	
0.197152	0.459090	0.550566	0.000000	3.000000	
0.797956	0.472228	0.859864	0.000000	0.000000	
0.353665	0.937581	0.728736	4.000000	1.000000	
0.169716	0.887662	0.338614	2.000000	1.000000	
0.457770	0.122588	0.838230	1.000000	0.000000	
0.060450	0.132853	0.985552	0.000000	0.000000	
0.521331	0.541552	0.530790	1.000000	1.000000	
0.047825	0.414602	0.512308	1.000000	1.000000	
0.201650	0.267789	0.818175	2.000000	2.000000	
0.051579	0.248680	0.965292	1.000000	1.000000	
0.804499	0.422440	0.998739	1.000000	1.000000	
0.726516	0.038791	0.937060	1.000000	0.000000	
0.377203	0.079670	0.007323	2.000000	1.000000	
0.703742	0.796398	0.197950	1.000000	2.000000	
0.822248	0.581164	0.021893	0.000000	0.000000	
0.596983	0.782279	0.448957	2.000000	1.000000	
0.792201	0.041234	0.238764	0.000000	1.000000	
0.205614	0.678786	0.484795	1.000000	1.000000	
0.285761	0.424451	0.093681	3.000000	1.000000	
0.056759	0.347069	0.408890	2.000000	1.000000	
0.110061	0.922440	0.353033	3.000000	1.000000	
0.358464	0.253853	0.583581	1.000000	0.000000	
0.588750	0.434492	0.528857	1.000000	1.000000	
0.385611	0.683325	0.447372	3.000000	1.000000	
0.767903	0.917070	0.295500	1.000000	1.000000	
0.179671	0.258394	0.911099	3.000000	2.000000	
0.339831	0.475501	0.334828	1.000000	2.000000	
0.179011	0.402186	0.722333	1.000000	1.000000	
0.754882	0.074335	0.251795	3.000000	0.000000	
0.691275	0.937201	0.695886	3.000000	0.000000	
0.460686	0.965559	0.080511	0.000000	2.000000	
0.260579	0.236647	0.038435	3.000000	2.000000	
0.293225	0.603638	0.295011	1.000000	0.000000	
0.796147	0.786399	0.382393	1.000000	2.000000	
0.805118	0.685437	0.946413	0.000000	3.000000	
0.600602	0.118448	0.511746	1.000000	2.000000	
0.644232	0.805559	0.126812	1.000000	3.000000	
0.162084	0.716571	0.834968	2.000000	1.000000	
0.297404	0.726000	0.350739	0.000000	0.000000	
0.048398	0.504706	0.468316	1.000000	2.000000	
0.186921	0.995455	0.005702	1.000000	2.000000	
0.263612	0.184240	0.871791	1.000000	0.000000	
0.814835	0.638125	0.478699	1.000000	0.000000	
0.518899	0.225454	0.486742	3.000000	1.000000	
0.221856	0.257040	0.544236	1.000000	1.000000	
0.349536	0.151341	0.331761	1.000000	1.000000	
0.659775	0.836227	0.612881	1.000000	0.000000	
0.247734	0.267210	0.717187	0.000000	1.000000	
0.462314	0.159888	0.139253	1.000000	0.000000	
0.676185	0.129532	0.766896	0.000000	3.000000	
0.847941	0.107832	0.861315	1.000000	0.000000	
0.658426	0.354029	0.070989	2.000000	0.000000	
0.643935	0.682231	0.077791	2.000000	0.000000	
0.257435	0.221907	0.317837	2.000000	0.000000	
0.989803	0.831852	0.138427	2.000000	0.000000	
0.425893	0.788053	0.170193	2.000000	3.000000	
0.949838	0.349037	0.061001	1.000000	0.000000	
0.615813	0.171857	0.164633	0.000000	4.000000	
0.874553	0.707381	0.204712	2.000000	0.000000	
0.965331	0.721026	0.876803	3.000000	1.000000	
0.305279	0.952001	0.260574	2.000000	1.000000	
0.264643	0.097323	0.978820	0.000000	2.000000	
0.823580	0.729075	0.298556	1.000000	1.000000	
0.822767	0.648120	0.968423	1.000000	0.000000	
0.701316	0.957744	0.387956	2.000000	1.000000	
0.907587	0.737609	0.582903	4.000000	0.000000	
0.010504	0.382815	0.779203	1.000000	1.000000	
0.385129	0.730641	0.538598	0.000000	1.000000	
0.409349	0.703636	0.424390	0.000000	0.000000	
0.286201	0.163585	0.820619	1.000000	0.000000	
0.358447	0.613362	0.856989	0.000000	2.000000	
0.507647	0.970542	0.756314	2.000000	0.000000	
0.706245	0.101943	0.516286	2.000000	0.000000	
0.715130	0.590305	0.480747	2.000000	1.000000	
0.825265	0.393633	0.617539	1.000000	0.000000	
0.413648	0.926321	0.811516	0.000000	1.000000	
0.107013	0.344668	0.580394	3.000000	2.000000	
0.388670	0.860249	0.965617	0.000000	0.000000	
0.789478	0.971711	0.079499	2.000000	0.000000	
0.612540	0.505442	0.516502	2.000000	4.000000	
0.298464	0.830854	0.870627	1.000000	3.000000	
0.322412	0.922739	0.739690	1.000000	2.000000	
0.828932	0.478485	0.605053	1.000000	0.000000	
0.676097	0.109654	0.028728	2.000000	3.000000	
0.568410	0.312207	0.955881	3.000000	2.000000	
0.088391	0.481492	0.595586	2.000000	1.000000	
0.314904	0.540533	0.718225	1.000000	0.000000	
0.078973	0.939268	0.258034	2.000000	2.000000	
0.327651	0.146811	0.180159	3.000000	0.000000	
0.942681	0.171398	0.732806	1.000000	0.000000	
0.411916	0.979316	0.513907	0.000000	0.000000	
0.756607	0.145159	0.050614	4.000000	4.000000	
0.342052	0.453888	0.676729	2.000000	2.000000	
0.744791	0.833370	0.500414	1.000000	2.000000	
0.010958	0.464391	0.667378	1.000000	0.000000	
0.856171	0.456164	0.844772	1.000000	0.000000	
0.580957	0.800652	0.829871	0.000000	1.000000	
0.515492	0.839069	0.571144	2.000000	2.000000	
0.715561	0.644003	0.313969	1.000000	1.000000	
0.053244	0.515540	0.477014	1.000000	3.000000	
0.765064	0.374627	0.083504	0.000000	1.000000	
0.961300	0.855709	0.184239	1.000000	3.000000	
0.833660	0.935769	0.220094	0.000000	0.000000	
0.557020	0.190528	0.885206	1.000000	0.000000	
0.393037	0.138596	0.684151	0.000000	0.000000	
0.520323	0.042276	0.284636	1.000000	0.000000	
0.801015	0.228623	0.669711	1.000000	4.000000	
0.098323	0.500649	0.156965	1.000000	0.000000	
0.734451	0.243076	0.137555	3.000000	0.000000	
0.969201	0.320154	0.296587	1.000000	0.000000	
0.762326	0.788678	0.174381	0.000000	0.000000	
0.125525	0.211374	0.061178	1.000000	0.000000	
0.327167	0.851863	0.318374	1.000000	0.000000	
0.795833	0.063415	0.920055	0.000000	2.000000	
0.985475	0.801181	0.826462	2.000000	1.000000	
0.814802	0.629626	0.261116	3.000000	0.000000	
0.230571	0.875149	0.351023	5.000000	0.000000	
0.446634	0.398291	0.968098	2.000000	1.000000	
0.807636	0.815312	0.936734	0.000000	2.000000	
0.116850	0.941570	0.453484	1.000000	0.000000	
0.355925	0.887011	0.958690	3.000000	3.000000	
0.179402	0.999974	0.528388	1.000000	2.000000	
0.510332	0.691379	0.953348	2.000000	1.000000	
0.036241	0.844306	0.473699	0.000000	3.000000	
0.709331	0.809828	0.864271	1.000000	1.000000	
0.684399	0.306141	0.064996	1.000000	2.000000	
0.972257	0.778135	0.812763	1.000000	2.000000	
0.066427	0.439809	0.719118	2.000000	2.000000	
0.571746	0.015936	0.169055	1.000000	0.000000	
0.032118	0.390230	0.641127	0.000000	0.000000	
0.811624	0.155496	0.881764	2.000000	2.000000	
0.293481	0.042779	0.454315	1.000000	1.000000	
0.028803	0.093237	0.610709	3.000000	1.000000	
0.630001	0.725398	0.473582	1.000000	3.000000	
0.989198	0.071988	0.228633	2.000000	4.000000	
0.595426	0.352368	0.762550	1.000000	2.000000	
0.901657	0.397950	0.601710	1.000000	4.000000	
0.865324	0.934242	0.076231	1.000000	0.000000	
0.306906	0.327799	0.227448	4.000000	1.000000	
0.517484	0.883070	0.757012	3.000000	0.000000	
0.736511	0.294115	0.330880	0.000000	1.000000	
0.958838	0.422986	0.278322	0.000000	3.000000	
0.013939	0.613953	0.830757	1.000000	3.000000	
0.696329	0.990433	0.356050	2.000000	0.000000	
0.889722	0.566416	0.746348	5.000000	1.000000	
0.272899	0.308788	0.926593	2.000000	0.000000	
0.253036	0.793239	0.737187	1.000000	1.000000	
0.020749	0.992507	0.938824	1.000000	1.000000	
0.671768	0.166143	0.300567	0.000000	0.000000	
0.786743	0.030505	0.776167	1.000000	0.000000	
0.124398	0.269206	0.278076	3.000000	1.000000	
0.865083	0.237521	0.029422	1.000000	1.000000	
0.095162	0.841027	0.616721	2.000000	2.000000	
0.596197	0.711949	0.833492	2.000000	1.000000	
0.808161	0.983321	0.598987	1.000000	0.000000	
0.181419	0.678752	0.422633	0.000000	2.000000	
0.630998	0.856516	0.087861	2.000000	2.000000	
0.165650	0.015132	0.775055	2.000000	4.000000	
0.946519	0.140606	0.761852	1.000000	3.000000	
0.290081	0.898877	0.204854	2.000000	0.000000	
0.869293	0.874809	0.122008	0.000000	0.000000	
0.545642	0.563372	0.669481	1.000000	1.000000	
0.346544	0.596666	0.756775	4.000000	1.000000	
0.930235	0.207893	0.004475	1.000000	0.000000	
0.376338	0.221563	0.470811	4.000000	0.000000	
0.735978	0.178699	0.143349	1.000000	1.000000	
0.997425	0.969282	0.945602	3.000000	0.000000	
0.648318	0.764686	0.865374	2.000000	1.000000	
0.932230	0.324654	0.173620	1.000000	0.000000	
0.889235	0.124056	0.938450	3.000000	0.000000	
0.490238	0.914708	0.751138	1.000000	0.000000	
0.627254	0.587132	0.925148	1.000000	0.000000	
0.536800	0.344790	0.479410	2.000000	1.000000	
0.342370	0.349270	0.066806	0.000000	2.000000	
0.296636	0.091278	0.260831	2.000000	1.000000	
0.180805	0.961155	0.035924	4.000000	2.000000	
0.731604	0.036772	0.832614	1.000000	2.000000	
0.585350	0.623254	0.151840	0.000000	2.000000	
0.387171	0.976565	0.276200	2.000000	3.000000	
0.006384	0.999288	0.246111	0.000000	2.000000	
0.570787	0.355902	0.835383	1.000000	1.000000	
0.765338	0.343724	0.221504	1.000000	1.000000	
0.727557	0.878476	0.425142	3.000000	1.000000	
0.496140	0.375111	0.208294	0.000000	0.000000	
0.195358	0.802781	0.650686	1.000000	0.000000	
0.469571	0.686210	0.831642	0.000000	0.000000	
0.988790	0.252321	0.693007	1.000000	1.000000	
0.887357	0.688951	0.782869	1.000000	4.000000	
0.634385	0.165563	0.052212	2.000000	0.000000	
0.062282	0.659739	0.047636	3.000000	1.000000	
0.601855	0.189904	0.252178	1.000000	1.000000	
0.124579	0.226275	0.130350	1.000000	0.000000	
