i	i	i	n	n
2.000000	4.000000	5.000000	0.447470	0.671441	
2.000000	4.000000	5.000000	0.156265	0.466068	
0.000000	4.000000	5.000000	0.990252	0.908739	
2.000000	5.000000	5.000000	0.258077	0.485627	
3.000000	4.000000	5.000000	0.810030	0.816548	
2.000000	5.000000	4.000000	0.792460	0.701924	
1.000000	5.000000	4.000000	0.105036	0.452886	
3.000000	4.000000	5.000000	0.203738	0.885126	
3.000000	5.000000	5.000000	0.367373	0.844991	
1.000000	4.000000	4.000000	0.599192	0.042905	
2.000000	4.000000	3.000000	0.922560	0.958082	
1.000000	2.000000	4.000000	0.318824	0.903956	
3.000000	5.000000	5.000000	0.875573	0.783818	
2.000000	5.000000	3.000000	0.431768	0.739375	
3.000000	5.000000	4.000000	0.121203	0.105141	
1.000000	4.000000	5.000000	0.859189	0.625598	
2.000000	5.000000	5.000000	0.442855	0.969215	
0.000000	3.000000	5.000000	0.748439	0.045497	
1.000000	4.000000	5.000000	0.422241	0.492592	
0.000000	3.000000	2.000000	0.074690	0.768672	
3.000000	3.000000	4.000000	0.698545	0.707449	
5.000000	4.000000	3.000000	0.471848	0.376432	
2.000000	4.000000	3.000000	0.664191	0.829390	
2.000000	5.000000	4.000000	0.839068	0.826616	
2.000000	5.000000	4.000000	0.754621	0.829655	
2.000000	4.000000	5.000000	0.505785	0.895385	
2.000000	4.000000	5.000000	0.042615	0.664862	
4.000000	5.000000	5.000000	0.981013	0.047117	
3.000000	5.000000	4.000000	0.439988	0.380780	
2.000000	5.000000	5.000000	0.007541	0.768237	
0.000000	5.000000	4.000000	0.983714	0.617059	
1.000000	4.000000	5.000000	0.214920	0.774750	
2.000000	4.000000	2.000000	0.473559	0.610321	
1.000000	5.000000	4.000000	0.690248	0.234336	
2.000000	5.000000	4.000000	0.601810	0.153385	
0.000000	5.000000	4.000000	0.686267	0.755066	
1.000000	3.000000	5.000000	0.700642	0.708885	
0.000000	5.000000	5.000000	0.612232	0.896729	
0.000000	3.000000	3.000000	0.402420	0.405599	
3.000000	3.000000	5.000000	0.480962	0.719919	
2.000000	4.000000	4.000000	0.830789	0.923433	
0.000000	3.000000	5.000000	0.303340	0.462209	
5.000000	5.000000	4.000000	0.504682	0.653776	
1.000000	4.000000	3.000000	0.178815	0.169768	
2.000000	5.000000	5.000000	0.911194	0.910151	
1.000000	4.000000	4.000000	0.990157	0.556710	
0.000000	4.000000	5.000000	0.612716	0.026149	
2.000000	5.000000	4.000000	0.804376	0.765924	
4.000000	5.000000	3.000000	0.163233	0.154133	
1.000000	5.000000	5.000000	0.792512	0.874161	
0.000000	5.000000	5.000000	0.772297	0.205986	
3.000000	4.000000	5.000000	0.898830	0.032935	
2.000000	4.000000	5.000000	0.414991	0.913480	
2.000000	3.000000	5.000000	0.140968	0.510904	
3.000000	4.000000	4.000000	0.972018	0.263618	
0.000000	3.000000	4.000000	0.877951	0.385695	
0.000000	5.000000	5.000000	0.865550	0.697538	
1.000000	3.000000	3.000000	0.939376	0.055489	
1.000000	5.000000	5.000000	0.749453	0.419471	
2.000000	5.000000	4.000000	0.591828	0.775372	
1.000000	5.000000	4.000000	0.962468	0.071460	
2.000000	4.000000	5.000000	0.938586	0.896537	
0.000000	5.000000	5.000000	0.069213	0.336195	
1.000000	5.000000	5.000000	0.761422	0.336458	
4.000000	4.000000	5.000000	0.697199	0.969468	
1.000000	4.000000	4.000000	0.379161	0.068799	
1.000000	2.000000	4.000000	0.131922	0.375943	
1.000000	3.000000	5.000000	0.659171	0.641173	
0.000000	2.000000	0.000000	0.345416	0.604027	
1.000000	5.000000	4.000000	0.972213	0.615523	
3.000000	4.000000	1.000000	0.414807	0.882032	
0.000000	5.000000	5.000000	0.386484	0.525812	
0.000000	5.000000	3.000000	0.913340	0.661494	
2.000000	5.000000	5.000000	0.106146	0.242815	
1.000000	5.000000	4.000000	0.408684	0.320059	
0.000000	4.000000	5.000000	0.054525	0.506095	
2.000000	4.000000	5.000000	0.068316	0.333871	
4.000000	5.000000	2.000000	0.933103	0.746028	
0.000000	4.000000	5.000000	0.214362	0.318849	
2.000000	5.000000	4.000000	0.436465	0.468996	
0.000000	5.000000	4.000000	0.744715	0.652351	
0.000000	4.000000	5.000000	0.213922	0.606112	
0.000000	3.000000	5.000000	0.992835	0.998243	
0.000000	4.000000	5.000000	0.882282	0.768253	
3.000000	5.000000	4.000000	0.092041	0.025388	
3.000000	5.000000	5.000000	0.791881	0.185544	
0.000000	5.000000	4.000000	0.936278	0.871428	
0.000000	3.000000	5.000000	0.877904	0.613771	
0.000000	5.000000	5.000000	0.319876	0.926882	
2.000000	5.000000	3.000000	0.291516	0.145476	
1.000000	5.000000	5.000000	0.838285	0.749569	
0.000000	5.000000	5.000000	0.236733	0.472740	
2.000000	5.000000	5.000000	0.686597	0.879046	
1.000000	4.000000	5.000000	0.632085	0.982946	
1.000000	4.000000	4.000000	0.009877	0.996101	
2.000000	3.000000	4.000000	0.473626	0.310520	
0.000000	3.000000	5.000000	0.942283	0.219505	
2.000000	5.000000	3.000000	0.151432	0.763372	
0.000000	4.000000	3.000000	0.946488	0.009931	
0.000000	2.000000	5.000000	0.816222	0.962031	
1.000000	5.000000	4.000000	0.149912	0.423201	
1.000000	3.000000	3.000000	0.700732	0.720909	
0.000000	5.000000	5.000000	0.646595	0.872756	
2.000000	4.000000	5.000000	0.310709	0.090441	
1.000000	5.000000	4.000000	0.899618	0.255208	
3.000000	5.000000	3.000000	0.351546	0.658521	
0.000000	5.000000	5.000000	0.163960	0.467933	
0.000000	5.000000	5.000000	0.683778	0.415904	
2.000000	5.000000	5.000000	0.437538	0.672659	
0.000000	5.000000	5.000000	0.901329	0.812860	
2.000000	4.000000	5.000000	0.743126	0.707551	
2.000000	4.000000	5.000000	0.047581	0.133131	
1.000000	2.000000	4.000000	0.565107	0.179461	
3.000000	5.000000	3.000000	0.419227	0.332498	
2.000000	2.000000	1.000000	0.978069	0.254200	
3.000000	5.000000	3.000000	0.327056	0.429733	
0.000000	2.000000	1.000000	0.843751	0.206469	
0.000000	5.000000	5.000000	0.214073	0.720023	
0.000000	3.000000	3.000000	0.639940	0.316363	
2.000000	4.000000	4.000000	0.350652	0.927450	
3.000000	4.000000	3.000000	0.207647	0.011987	
1.000000	3.000000	4.000000	0.168892	0.255073	
2.000000	3.000000	2.000000	0.231406	0.877494	
1.000000	5.000000	2.000000	0.423288	0.615869	
1.000000	3.000000	4.000000	0.845579	0.708812	
1.000000	5.000000	4.000000	0.676025	0.078434	
1.000000	5.000000	4.000000	0.769104	0.757228	
0.000000	5.000000	4.000000	0.765715	0.573061	
2.000000	5.000000	5.000000	0.172271	0.460433	
1.000000	3.000000	5.000000	0.886132	0.201580	
0.000000	4.000000	4.000000	0.651948	0.157316	
4.000000	1.000000	3.000000	0.469511	0.378031	
2.000000	5.000000	3.000000	0.633557	0.587774	
2.000000	3.000000	1.000000	0.554595	0.071997	
2.000000	5.000000	5.000000	0.556270	0.066467	
0.000000	4.000000	4.000000	0.496024	0.924455	
2.000000	5.000000	4.000000	0.227009	0.777878	
1.000000	5.000000	5.000000	0.908653	0.769426	
2.000000	5.000000	4.000000	0.367472	0.434621	
2.000000	5.000000	5.000000	0.658251	0.385070	
0.000000	5.000000	5.000000	0.091227	0.805337	
1.000000	5.000000	5.000000	0.824743	0.466995	
1.000000	5.000000	4.000000	0.860241	0.971154	
1.000000	5.000000	5.000000	0.235422	0.963316	
2.000000	5.000000	4.000000	0.457772	0.703843	
1.000000	4.000000	5.000000	0.682137	0.190784	
0.000000	5.000000	4.000000	0.651200	0.303368	
1.000000	5.000000	3.000000	0.322180	0.580157	
0.000000	4.000000	4.000000	0.916040	0.460639	
2.000000	4.000000	5.000000	0.922191	0.778617	
2.000000	5.000000	5.000000	0.518427	0.686061	
0.000000	3.000000	5.000000	0.593426	0.279606	
2.000000	5.000000	5.000000	0.431214	0.257676	
1.000000	3.000000	4.000000	0.080441	0.809809	
3.000000	5.000000	4.000000	0.872493	0.268776	
1.000000	4.000000	4.000000	0.556712	0.846307	
4.000000	4.000000	3.000000	0.971218	0.844630	
0.000000	4.000000	5.000000	0.212602	0.384010	
5.000000	3.000000	3.000000	0.013859	0.613545	
0.000000	5.000000	4.000000	0.329461	0.621951	
0.000000	4.000000	4.000000	0.770891	0.332585	
1.000000	5.000000	2.000000	0.986993	0.394783	
2.000000	4.000000	5.000000	0.785462	0.669042	
0.000000	5.000000	4.000000	0.491956	0.280865	
1.000000	4.000000	5.000000	0.149003	0.257148	
2.000000	4.000000	5.000000	0.879068	0.811424	
1.000000	4.000000	4.000000	0.635788	0.899948	
1.000000	5.000000	4.000000	0.974875	0.251888	
2.000000	4.000000	5.000000	0.900126	0.659218	
2.000000	5.000000	5.000000	0.582993	0.793405	
1.000000	4.000000	5.000000	0.181160	0.458115	
3.000000	5.000000	5.000000	0.247334	0.850073	
1.000000	4.000000	5.000000	0.442978	0.929077	
1.000000	5.000000	4.000000	0.563855	0.484296	
2.000000	5.000000	5.000000	0.250622	0.364026	
1.000000	5.000000	4.000000	0.444337	0.084374	
3.000000	5.000000	5.000000	0.762935	0.243929	
1.000000	5.000000	4.000000	0.958392	0.810021	
0.000000	5.000000	3.000000	0.535082	0.651252	
0.000000	5.000000	3.000000	0.918595	0.431831	
1.000000	5.000000	4.000000	0.964305	0.017140	
3.000000	4.000000	2.000000	0.572454	0.394993	
0.000000	3.000000	2.000000	0.780591	0.091955	
2.000000	5.000000	3.000000	0.214196	0.160383	
1.000000	4.000000	4.000000	0.600363	0.783052	
2.000000	5.000000	5.000000	0.846874	0.418304	
0.000000	2.000000	5.000000	0.509277	0.593464	
0.000000	2.000000	5.000000	0.020235	0.245305	
3.000000	5.000000	2.000000	0.887026	0.472855	
0.000000	4.000000	3.000000	0.949549	0.122472	
1.000000	3.000000	4.000000	0.594506	0.909241	
2.000000	4.000000	5.000000	0.454578	0.263032	
0.000000	2.000000	5.000000	0.530954	0.619791	
0.000000	5.000000	4.000000	0.924593	0.717932	
2.000000	4.000000	3.000000	0.061357	0.433217	
2.000000	3.000000	5.000000	0.081942	0.641683	
0.000000	5.000000	5.000000	0.319123	0.898622	
2.000000	4.000000	5.000000	0.080375	0.316838	
1.000000	5.000000	5.000000	0.444199	0.131193	
1.000000	4.000000	3.000000	0.388829	0.442674	
0.000000	5.000000	5.000000	0.831807	0.720034	
0.000000	5.000000	5.000000	0.256887	0.081551	
0.000000	3.000000	5.000000	0.589020	0.565407	
2.000000	5.000000	4.000000	0.873662	0.791863	
0.000000	5.000000	4.000000	0.377996	0.553759	
1.000000	5.000000	5.000000	0.034688	0.905713	
5.000000	5.000000	5.000000	0.505203	0.841265	
3.000000	4.000000	2.000000	0.038254	0.397599	
2.000000	5.000000	5.000000	0.967471	0.298736	
1.000000	5.000000	3.000000	0.307992	0.966285	
2.000000	5.000000	5.000000	0.568457	0.496250	
1.000000	5.000000	5.000000	0.798616	0.557332	
1.000000	4.000000	4.000000	0.231866	0.350134	
2.000000	4.000000	5.000000	0.200681	0.577821	
1.000000	4.000000	5.000000	0.228834	0.292690	
4.000000	5.000000	3.000000	0.387707	0.037554	
4.000000	4.000000	5.000000	0.832460	0.971107	
1.000000	5.000000	4.000000	0.240347	0.688312	
1.000000	4.000000	4.000000	0.831347	0.089272	
0.000000	4.000000	5.000000	0.823893	0.628140	
0.000000	5.000000	5.000000	0.088325	0.307969	
1.000000	3.000000	4.000000	0.409237	0.344439	
0.000000	5.000000	5.000000	0.267861	0.560210	
